ID,Is_Lead
VBENBARO,0.07649277457836225
CCMEWNKY,0.8399619169982775
VK3KGA9M,0.04724960564149605
TT8RPZVC,0.02254849878003668
SHQZEYTZ,0.01715522826910275
MZZAQMPT,0.06896496223310201
Y88TW36I,0.06504981525816433
3UGOAQNU,0.057911513168861624
VVUKMUJT,0.9748119919743099
9R363ZXS,0.1884237293457834
BLISM6JE,0.0522459711897899
CH8S7JK7,0.23988504230591412
EAHDPXEJ,0.7406212585333123
BNUK9PRF,0.29023225207599956
GP2PG6FJ,0.055289888540250715
WNQCSN8A,0.03705536070842622
32DN4YVZ,0.6232293025238488
GXAMDANM,0.06664339544531411
MXETLUP4,0.10213768749956317
MPXK6TVE,0.7786808786141829
LBSIME2K,0.17719977101006362
D6ORJTM6,0.07073578838414966
HGDIBAKA,0.7824819101187772
UUZYL9DZ,0.42884411161311065
AUGE3VWK,0.06186582891909445
MX7GOX6Q,0.0745616144538696
TQN6K35W,0.06719183478578096
QQDRMQQN,0.5531527827226324
UP6GC6F4,0.04305039139530381
BMHBUVHB,0.6204975344074347
KGLDW86A,0.1038219946573156
FQEOMOP4,0.13721457593086073
DYWM5MEU,0.21982696478708857
DXHGXV8F,0.06955990796588199
AVFBFQKC,0.22192823988189647
DBIDKYMV,0.13939351445363254
KYZHMEBY,0.29684674007729295
SSFEBUGF,0.055203754417220176
MGJTAG8X,0.5506687242335546
MP6BERDO,0.16154546048659507
GXZ8ED68,0.06338485496419957
ICTFGWQR,0.47001819642444864
EAYHTRKH,0.020837726424240737
6FN97QLQ,0.09719181931291887
3H5MZDDW,0.38336821120692566
2DXZZWSN,0.0328859374913847
MM4QIRE5,0.05307686883217133
HJWVYXUA,0.1823833505846015
RBRSJUP3,0.7699018825458427
YFRQKGXW,0.48609778695899764
N3SADEBV,0.0478259467860582
G2A2YYXY,0.027898533957770626
XMGA3WT3,0.03810760847826808
KVZQPSGI,0.14742123989388017
UAKARBBG,0.04250543194946651
WYKKL85Z,0.17926410743098603
GHNYYGRR,0.11439824151966044
UBAJANWT,0.05401379585095792
LSARSF7U,0.024502787792615117
4CNSJVVR,0.284737103024138
JRHJSWYO,0.3876660630965752
FHZ8SVVI,0.08236033712367441
JUIRE47M,0.9127238162189563
GDIVN2GL,0.06920119738389124
WMF3DYE3,0.7308937201017791
MAQEHEWK,0.22410575218040968
2W8DLKFU,0.06522105521823425
AKGRML6H,0.11098955708493957
B7WUUGCY,0.04459321923843641
TLJOYATM,0.42977416724291667
UH6ZDM3W,0.934061801601843
7IP5SSRR,0.6884515611080241
PV85PMEB,0.5453774022381445
FGDOY4NI,0.20220913922429673
7YYIXJQE,0.05502079014116126
BHW42XPW,0.055033836699121125
3PKEEAT4,0.3063106966284054
ACFPZ3LM,0.05340594714606711
6GORGNYN,0.8431447129001864
AEPQTMJK,0.24271303630553992
S6FNZFKK,0.06536589472529084
JTYNEKRQ,0.5834526695535741
GPXDPHHC,0.07163554866526037
O8TMKNNB,0.04610783574094351
XSQVHKYG,0.055234084032800446
MJ3CZRAE,0.019089862747319258
3NSQEYBJ,0.49166898069064874
SXVBASGH,0.06213727351362598
5ZIGZYSS,0.07972058168349834
FQSHBCUT,0.39359972335560933
MU45XUBP,0.04992783076817853
BVULDPBI,0.059121229378151174
82GRNPFG,0.8311982263417217
KKBNELBF,0.05248761799083534
HXQGBDGY,0.0660626743398896
28HDZICG,0.5745482966616609
GHBPKPJC,0.053671874282231094
FDWZFSSC,0.8544130906086745
FWTIWZF3,0.05443690154423889
JYMHVPMY,0.04225742842251522
AHUDO2T6,0.8199150339970758
ACDHABS3,0.2908815482160344
5NTYJJDV,0.0896051324740198
2M4VPY4V,0.1537979566916719
KAHP9XLF,0.06587958598572281
YRLEWZFQ,0.10988262308668872
JZWVLXHJ,0.1862463138536011
JZZSXUKT,0.27403886919839504
93RURE2J,0.8506083947932093
4RNB6FDV,0.26369115125705467
27E7HMMG,0.10538073824641139
2QEFQQWN,0.08117911106279813
DDTCD2XI,0.06653504349525069
VGVEYSEG,0.8112961518301272
WCXVE7RK,0.046425362414214695
RTN4R3UE,0.03763220910128769
K2PVS4RB,0.06671449370679487
Q36J686Z,0.10427055031622076
NWKHMEOF,0.15411356270175014
PVJYQQGT,0.29012347734429744
GPUMRNWC,0.052685109128889435
LXHCDSVH,0.15778595292447084
BNIUPSVK,0.05281654219990843
FW3QI3WW,0.0809706476393075
IEEUGXMY,0.8379241767466548
FVVXDLBO,0.06149894895581692
UC2JJB6Y,0.06389040113472404
3WPAHP52,0.5127102543072369
HDTCJJOE,0.5679151775121589
UCSB9GKK,0.05532469189974559
HANBFYTH,0.14787520842605392
FLUU2HNV,0.05293856280199369
64PIYWDJ,0.265812059542066
9AHNH8ZX,0.8628045718757069
KLHUI2SE,0.047262152646516946
YRHYUJFW,0.757565882977281
G5RWWH7F,0.1817120653674587
SCBT9BAX,0.030995768412548474
UGZGLVNB,0.2910481779147668
2RRNUFBV,0.8587389472302542
B6O59TEY,0.4720855965706207
CYHRRYH6,0.07614853679690167
GGYZVHWU,0.06964600864028322
K6AM97RN,0.07009409835040824
ATM5JQYM,0.056735631333992204
7GYZSGWA,0.05219824313393358
DFWUDQCR,0.17122614067280445
E2Z98CR3,0.8387735144423045
GD9KTSLY,0.05480259553249396
2AMRA4OD,0.08643450155157412
CFHZ3ZE6,0.37153587340579586
BOMLVM5K,0.061166188540016986
